0.00002	0.000012	0.000016	0.000016	0.000019	0	0.000015	0
0.000012	0.000014	0.0000041	0	0.000022	0	0	0
0.00002	0.000011	0.0000031	0.00002	0	0	0	0
0.000011	0.000024	0	0	0	0	0	0.00002
0	0	0	0	0	0.000015	0.000013	0
0	0	0.0000011	0	0	0	0	0
0	0	0	0	0	0.000011	0	0
5466	5138	3029	2574	3961	2241	3030	2408
0.0001	0.00005	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001
0.00002	0.00003	0.00002	0.00002	0.00002	0.00002	0.00002	0.00001
0.004	0.01	0.02	0.005	0.004	0.02	0.025	0.015
0.03	0.04	0.04	0.055	0.02	0.024	0.04	0.04
